EEG 1, EEG 2, EEG 3, EEG 4, EEG 5, EEG 6, EEG 7, EEG 8, TRIG
161093.300,185497.800,317060.000,285585.300,168507.500,163851.200,150797.800,167612.500,0.000
160992.800,185309.400,316685.600,285289.600,168144.000,163680.100,150609.700,167376.400,0.000
160916.800,185225.700,316496.000,285151.100,168064.500,163594.600,150569.100,167366.200,0.000
160856.400,185228.800,316414.500,285050.800,168254.500,163595.500,150619.000,167465.500,0.000
160764.600,185166.900,316206.800,284811.400,168312.600,163546.500,150568.800,167406.300,0.000
160655.300,184996.500,315835.900,284466.200,168043.000,163403.200,150370.800,167146.000,0.000
160572.800,184827.900,315497.700,284203.400,167698.400,163247.800,150201.100,166926.300,0.000
160520.800,184761.500,315343.300,284103.800,167634.200,163177.400,150185.200,166938.700,0.000
160484.700,184786.700,315302.200,284047.400,167844.400,163202.100,150261.900,167075.200,0.000
160410.800,184751.300,315137.700,283845.500,167934.900,163181.700,150240.000,167045.700,0.000
160308.600,184593.100,314796.100,283526.500,167682.000,163048.300,150066.400,166799.200,0.000
160248.100,184445.200,314495.600,283303.500,167360.300,162914.700,149919.200,166601.200,0.000
160213.600,184396.400,314372.500,283231.800,167314.500,162860.700,149910.800,166628.500,0.000
160186.700,184433.900,314354.900,283199.100,167541.100,162893.900,149991.500,166777.400,0.000
160118.700,184410.600,314210.200,283016.200,167643.700,162886.900,149979.900,166749.100,0.000
160033.200,184276.500,313896.400,282717.000,167406.100,162775.400,149819.200,166515.200,0.000
159974.900,184139.800,313609.500,282507.400,167085.300,162650.800,149669.900,166319.400,0.000
159959.300,184116.100,313518.900,282469.000,167055.000,162619.600,149665.700,166358.300,0.000
159941.900,184163.600,313522.800,282461.300,167284.800,162657.700,149754.900,166507.400,0.000
159888.700,184153.600,313405.000,282307.800,167400.400,162657.000,149752.300,166501.000,0.000
159821.100,184037.300,313119.300,282043.500,167183.300,162559.600,149610.300,166280.500,0.000
159776.900,183910.100,312859.000,281863.900,166874.900,162447.600,149474.000,166101.000,0.000
159759.600,183876.500,312773.000,281839.900,166837.400,162405.800,149481.000,166141.100,0.000
159742.700,183927.000,312786.100,281841.900,167068.300,162447.000,149574.600,166295.100,0.000
159699.000,183928.300,312686.400,281704.900,167191.200,162456.000,149578.200,166300.600,0.000
159645.400,183824.600,312422.200,281462.600,166988.800,162373.200,149444.900,166098.800,0.000
159600.400,183697.900,312163.100,281287.500,166684.200,162261.400,149314.400,165921.400,0.000
