EEG1,EEG2,EEG3,EEG4,EEG5,EEG6,EEG7,EEG8
-126.15325164794922,-124.18629455566406,-123.11341094970703,-125.79562377929688,-117.1231460571289,-119.5371322631836,-114.53034210205078,-96.73835754394531
-126.24266052246094,-124.18629455566406,-123.11341094970703,-125.52740478515625,-117.30196380615234,-119.35832214355469,-114.44093322753906,-96.91716766357422
-126.51087951660156,-124.00748443603516,-123.02400970458984,-125.52740478515625,-117.03373718261719,-119.26891326904297,-114.35153198242188,-96.91716766357422
-126.42147064208984,-123.82866668701172,-122.93460083007812,-125.61680603027344,-116.85492706298828,-119.00069427490234,-114.26212310791016,-96.91716766357422
-126.33206939697266,-123.91807556152344,-123.11341094970703,-125.43799591064453,-117.03373718261719,-119.17950439453125,-114.17271423339844,-96.8277587890625
-126.42147064208984,-124.00748443603516,-123.02400970458984,-125.52740478515625,-117.21255493164062,-119.17950439453125,-114.08330535888672,-96.73835754394531
-126.24266052246094,-123.82866668701172,-123.11341094970703,-125.61680603027344,-116.76551818847656,-119.35832214355469,-114.26212310791016,-96.73835754394531
-126.24266052246094,-123.91807556152344,-122.93460083007812,-125.34858703613281,-116.67610931396484,-119.26891326904297,-114.26212310791016,-96.8277587890625
-126.15325164794922,-124.00748443603516,-122.8451919555664,-125.34858703613281,-116.85492706298828,-119.00069427490234,-114.44093322753906,-96.73835754394531
-126.15325164794922,-123.73926544189453,-122.8451919555664,-125.2591781616211,-116.85492706298828,-119.09010314941406,-114.26212310791016,-96.73835754394531
-126.15325164794922,-123.82866668701172,-122.75578308105469,-125.34858703613281,-116.76551818847656,-119.26891326904297,-114.17271423339844,-96.55953979492188
-126.0638427734375,-123.91807556152344,-122.57697296142578,-125.2591781616211,-117.03373718261719,-119.09010314941406,-114.17271423339844,-96.6489486694336
-126.24266052246094,-123.73926544189453,-122.75578308105469,-125.43799591064453,-116.9443359375,-118.8218765258789,-114.17271423339844,-96.8277587890625
-126.15325164794922,-123.73926544189453,-122.93460083007812,-125.52740478515625,-116.58670806884766,-118.91128540039062,-113.90449523925781,-96.6489486694336
-126.24266052246094,-123.64985656738281,-122.8451919555664,-125.34858703613281,-116.58670806884766,-119.09010314941406,-114.17271423339844,-96.6489486694336
-126.0638427734375,-123.73926544189453,-122.75578308105469,-125.43799591064453,-116.85492706298828,-119.09010314941406,-114.08330535888672,-96.73835754394531
-126.15325164794922,-123.64985656738281,-122.75578308105469,-125.1697769165039,-116.85492706298828,-118.91128540039062,-114.08330535888672,-96.73835754394531
-125.97444152832031,-123.5604476928711,-122.6663818359375,-125.08036804199219,-116.9443359375,-118.73247528076172,-113.99390411376953,-96.73835754394531
-125.97444152832031,-123.5604476928711,-122.8451919555664,-125.2591781616211,-116.76551818847656,-118.64306640625,-114.08330535888672,-96.8277587890625
-126.0638427734375,-123.64985656738281,-122.6663818359375,-125.08036804199219,-116.67610931396484,-118.8218765258789,-114.08330535888672,-96.73835754394531
-125.97444152832031,-123.64985656738281,-122.6663818359375,-124.90155029296875,-116.49729919433594,-118.73247528076172,-113.90449523925781,-96.47013092041016
-125.79562377929688,-123.47103881835938,-122.6663818359375,-125.08036804199219,-116.40789031982422,-118.91128540039062,-114.08330535888672,-96.73835754394531
-125.70621490478516,-123.47103881835938,-122.75578308105469,-125.1697769165039,-116.49729919433594,-118.91128540039062,-113.72567749023438,-96.73835754394531
-125.97444152832031,-123.38163757324219,-122.57697296142578,-125.08036804199219,-116.58670806884766,-118.55365753173828,-113.90449523925781,-96.55953979492188
-125.8850326538086,-123.5604476928711,-122.48756408691406,-125.08036804199219,-116.58670806884766,-118.55365753173828,-114.08330535888672,-96.8277587890625
-125.79562377929688,-123.64985656738281,-122.57697296142578,-125.08036804199219,-116.40789031982422,-118.55365753173828,-114.17271423339844,-96.91716766357422
-125.8850326538086,-123.47103881835938,-122.57697296142578,-125.1697769165039,-116.85492706298828,-118.55365753173828,-114.08330535888672,-96.6489486694336
-125.79562377929688,-123.29222869873047,-122.57697296142578,-125.08036804199219,-116.85492706298828,-118.64306640625,-113.90449523925781,-96.55953979492188
